id,category,sentence_a,sentence_b,expected,predicted,similarity_score,similarity_pct,latency_ms,execution_mode
1,STS-B (main-captions),A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,Similar,Similar,0.9057,90.57%,1164.98,Real API
6,STS-B (main-captions),A man is slicing open a fish.,A man is cutting up a fish.,Similar,Similar,0.9345,93.45%,1132.16,Real API
11,STS-B (main-captions),A man is cutting a potato.,A man is slicing some potato.,Similar,Similar,0.9378,93.78%,1116.35,Real API
16,STS-B (main-captions),A woman is dancing in the rain.,A woman dances in the rain out side.,Similar,Similar,0.9203,92.03%,1175.82,Real API
21,STS-B (main-captions),A man puts three pieces of meat into a pan.,A man is putting meat in a pan.,Similar,Similar,0.9371,93.71%,1148.78,Real API
26,STS-B (main-captions),A man is sitting and smoking.,A man is smoking a cigarette.,Similar,Similar,0.8428,84.28%,1171.99,Real API
31,STS-B (main-captions),A person is drawing on a large touchscreen.,A man is drawing on a digital dry erase board.,Similar,Similar,0.8404,84.04%,1236.81,Real API
36,STS-B (main-captions),The lady peeled the potatoe.,A woman is peeling a potato.,Similar,Similar,0.8809,88.09%,1203.99,Real API
41,STS-B (main-captions),A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,Similar,Similar,0.8191,81.91%,1109.26,Real API
46,STS-B (main-captions),Two men are fistfighting in a ring.,Two men fistfight in a ring.,Similar,Similar,0.9815,98.15%,1217.86,Real API
51,STS-B (main-captions),A boy is playing a key-board.,A little boy is playing a keyboard.,Similar,Similar,0.9342,93.42%,1134.16,Real API
56,STS-B (main-captions),A woman is climbing a cliff.,A woman is climbing a rock face.,Similar,Similar,0.9066,90.66%,1094.56,Real API
61,STS-B (main-captions),A man is picking up a tree.,A man is carrying a tree.,Similar,Similar,0.9325,93.25%,1072.81,Real API
66,STS-B (main-captions),The man is eating.,A man is eating food.,Similar,Similar,0.9336,93.36%,1204.78,Real API
71,STS-B (main-captions),A woman is dicing some peeled potatoes cut into thick strips.,A woman is chopping a peeled potato into slices.,Similar,Similar,0.9051,90.51%,1345.28,Real API
76,STS-B (main-captions),A person is slicing some garlic.,A person is dicing a clove of garlic with a knife.,Similar,Similar,0.9054,90.54%,1408.59,Real API
81,STS-B (main-captions),The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,Similar,Similar,0.8542,85.42%,1423.07,Real API
86,STS-B (main-captions),A lady mixed up a meat mixture in bowl.,A woman is stirring meat in a bowl.,Similar,Similar,0.9137,91.37%,1354.6,Real API
