id,category,sentence_a,sentence_b,expected,predicted,similarity_score,similarity_pct,latency_ms,execution_mode
1,STS-B (main-captions),A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,Similar,Similar,0.7886,78.86%,4.02,Local CPU
2,STS-B (main-captions),One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,Similar,Similar,0.9465,94.65%,4.02,Local CPU
3,STS-B (main-captions),A man is cutting up a cucumber.,A man is slicing a cucumber.,Similar,Similar,0.882,88.20%,4.02,Local CPU
4,STS-B (main-captions),A man is riding an electric bicycle.,A man is riding a bicycle.,Similar,Similar,0.8074,80.74%,4.02,Local CPU
5,STS-B (main-captions),A man is cutting an onion.,A man cuts an onion.,Similar,Similar,0.9795,97.95%,4.02,Local CPU
6,STS-B (main-captions),A man is slicing open a fish.,A man is cutting up a fish.,Similar,Similar,0.8238,82.38%,4.02,Local CPU
7,STS-B (main-captions),A baby panda goes down a slide.,A panda slides down a slide.,Similar,Similar,0.8536,85.36%,4.02,Local CPU
8,STS-B (main-captions),A man is singing and playing a guitar.,A man is playing a guitar.,Similar,Similar,0.8012,80.12%,4.02,Local CPU
9,STS-B (main-captions),A man attacks a woman.,A man slaps a woman.,Similar,Similar,0.7306,73.06%,4.02,Local CPU
10,STS-B (main-captions),Two zebras play in an open field.,Two zebras are playing in a field.,Similar,Similar,0.9564,95.64%,4.02,Local CPU
11,STS-B (main-captions),A man is cutting a potato.,A man is slicing some potato.,Similar,Similar,0.8929,89.29%,4.02,Local CPU
12,STS-B (main-captions),A turtle is swimming in water.,A turtle is walking underwater.,Similar,Similar,0.773,77.30%,4.02,Local CPU
13,STS-B (main-captions),A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,Similar,Similar,0.8652,86.52%,4.02,Local CPU
14,STS-B (main-captions),A cat is eating some corn.,A cat is eating corn on the cob.,Similar,Similar,0.9341,93.41%,4.02,Local CPU
15,STS-B (main-captions),A man is eating a food.,A man is eating a piece of bread.,Similar,Similar,0.7628,76.28%,4.02,Local CPU
16,STS-B (main-captions),A woman is dancing in the rain.,A woman dances in the rain out side.,Similar,Similar,0.9244,92.44%,4.02,Local CPU
17,STS-B (main-captions),A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,Similar,Similar,0.7838,78.38%,4.02,Local CPU
18,STS-B (main-captions),A woman is talking on a cell phone.,A man and woman are talking on the phone.,Similar,Not Similar,0.6078,60.78%,4.02,Local CPU
19,STS-B (main-captions),A man is playing a guitar.,A man is singing while playing the guitar.,Similar,Similar,0.7703,77.03%,4.02,Local CPU
20,STS-B (main-captions),A boy studies a calendar.,A boy is looking at a calendar.,Similar,Similar,0.9024,90.24%,4.02,Local CPU
21,STS-B (main-captions),A man puts three pieces of meat into a pan.,A man is putting meat in a pan.,Similar,Similar,0.878,87.80%,4.02,Local CPU
22,STS-B (main-captions),Some men are sawing.,Men are sawing logs.,Similar,Similar,0.7764,77.64%,4.02,Local CPU
23,STS-B (main-captions),The man is kissing and hugging the woman.,A man is hugging and kissing a woman.,Similar,Similar,0.9613,96.13%,4.02,Local CPU
24,STS-B (main-captions),Someone is slicing an onion.,A woman is cutting onion.,Similar,Similar,0.8055,80.55%,4.02,Local CPU
25,STS-B (main-captions),A person is playing an electronic keyboard.,A kid is playing keyboard.,Similar,Similar,0.7288,72.88%,4.02,Local CPU
26,STS-B (main-captions),A man is sitting and smoking.,A man is smoking a cigarette.,Similar,Similar,0.801,80.10%,4.02,Local CPU
27,STS-B (main-captions),A man is standing in front of the window and looking outside.,A man is staring out the window.,Similar,Similar,0.7537,75.37%,4.02,Local CPU
28,STS-B (main-captions),A man is playing the guitar and singing.,A man sings with a guitar.,Similar,Similar,0.863,86.30%,4.02,Local CPU
29,STS-B (main-captions),People are dancing outside.,A group of people are dancing.,Similar,Similar,0.8337,83.37%,4.02,Local CPU
30,STS-B (main-captions),A machine is sharpening a pencil.,The machine shaved the end of the pencil.,Similar,Not Similar,0.6941,69.41%,4.02,Local CPU
31,STS-B (main-captions),A person is drawing on a large touchscreen.,A man is drawing on a digital dry erase board.,Similar,Not Similar,0.4942,49.42%,4.02,Local CPU
32,STS-B (main-captions),The polar bears fought over the kill.,Polar bears are fighting each other.,Similar,Similar,0.7988,79.88%,4.02,Local CPU
33,STS-B (main-captions),A man is doing trick with play cards.,A man is performing a card trick.,Similar,Similar,0.9202,92.02%,4.02,Local CPU
34,STS-B (main-captions),Two women are dancing and singing in front of a crowd.,The women are singing and dancing.,Similar,Similar,0.7858,78.58%,4.02,Local CPU
35,STS-B (main-captions),Two men pushed carts through the woods.,Two men are pushing carts.,Similar,Similar,0.7436,74.36%,4.02,Local CPU
36,STS-B (main-captions),The lady peeled the potatoe.,A woman is peeling a potato.,Similar,Similar,0.7513,75.13%,4.02,Local CPU
37,STS-B (main-captions),A woman is slicing some tofu.,A woman is cutting a block of tofu into small cubes.,Similar,Similar,0.7954,79.54%,4.02,Local CPU
38,STS-B (main-captions),Someone typed on a keyboard.,Someone is typing.,Similar,Similar,0.8778,87.78%,4.02,Local CPU
39,STS-B (main-captions),An oriental lady is cutting a carrot into thin pieces.,A woman is slicing a carrot.,Similar,Similar,0.8035,80.35%,4.02,Local CPU
40,STS-B (main-captions),A group of people are dancing.,Women are dancing outside.,Similar,Not Similar,0.6027,60.27%,4.02,Local CPU
41,STS-B (main-captions),A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,Similar,Not Similar,0.6398,63.98%,4.02,Local CPU
42,STS-B (main-captions),The panda bear lay on the logs.,A panda is lying down.,Similar,Similar,0.716,71.60%,4.02,Local CPU
43,STS-B (main-captions),A cheetah is running behind its prey.,A cheetah chases prey on across a field.,Similar,Similar,0.8253,82.53%,4.02,Local CPU
44,STS-B (main-captions),A dog is barking at a toy.,The little dog barked at the electronic toy.,Similar,Similar,0.7425,74.25%,4.02,Local CPU
45,STS-B (main-captions),A woman and man are dancing in the rain.,A man and woman are dancing in rain.,Similar,Similar,0.9895,98.95%,4.02,Local CPU
46,STS-B (main-captions),Two men are fistfighting in a ring.,Two men fistfight in a ring.,Similar,Similar,0.9276,92.76%,4.02,Local CPU
47,STS-B (main-captions),A person wipes butter on a tray.,A person is buttering a tray.,Similar,Similar,0.8073,80.73%,4.02,Local CPU
48,STS-B (main-captions),Two men are playing football.,Two men are practicing football.,Similar,Similar,0.8061,80.61%,4.02,Local CPU
49,STS-B (main-captions),A woman is stabbing a potato with a fork.,A woman is puncturing a potato with a fork.,Similar,Similar,0.8275,82.75%,4.02,Local CPU
50,STS-B (main-captions),A child is waking up.,A girl is waking up.,Similar,Similar,0.8218,82.18%,4.02,Local CPU
51,STS-B (main-captions),A boy is playing a key-board.,A little boy is playing a keyboard.,Similar,Similar,0.7644,76.44%,4.02,Local CPU
52,STS-B (main-captions),A woman plays the flute.,A woman is playing the flute.,Similar,Similar,0.9906,99.06%,4.02,Local CPU
53,STS-B (main-captions),A group of people are sweeping water out of a house.,People are sweeping water out of a house.,Similar,Similar,0.9664,96.64%,4.02,Local CPU
54,STS-B (main-captions),A man plays a guitar.,A man is playing a guitar.,Similar,Similar,0.9833,98.33%,4.02,Local CPU
55,STS-B (main-captions),A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,Similar,Similar,0.8952,89.52%,4.02,Local CPU
56,STS-B (main-captions),A woman is climbing a cliff.,A woman is climbing a rock face.,Similar,Not Similar,0.6818,68.18%,4.02,Local CPU
57,STS-B (main-captions),A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,Similar,Similar,0.9235,92.35%,4.02,Local CPU
58,STS-B (main-captions),A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,Similar,Similar,0.74,74.00%,4.02,Local CPU
59,STS-B (main-captions),A man is riding a horse by a creek.,A man is riding a horse.,Similar,Similar,0.7747,77.47%,4.02,Local CPU
60,STS-B (main-captions),A man is playing a guitar.,A man is playing a guitar and singing.,Similar,Similar,0.8108,81.08%,4.02,Local CPU
61,STS-B (main-captions),A man is picking up a tree.,A man is carrying a tree.,Similar,Similar,0.754,75.40%,4.02,Local CPU
62,STS-B (main-captions),A person is peeling a potato.,The man is peeling a potato.,Similar,Similar,0.9052,90.52%,4.02,Local CPU
63,STS-B (main-captions),A man is playing a musical keyboard.,A man is playing a keyboard piano.,Similar,Similar,0.8917,89.17%,4.02,Local CPU
64,STS-B (main-captions),A man plays a trumpet.,A man is playing the trumpet.,Similar,Similar,0.9803,98.03%,4.02,Local CPU
65,STS-B (main-captions),A woman is playing a guitar and singing.,A woman is playing the guitar.,Similar,Similar,0.8503,85.03%,4.02,Local CPU
66,STS-B (main-captions),The man is eating.,A man is eating food.,Similar,Similar,0.9467,94.67%,4.02,Local CPU
67,STS-B (main-captions),A little boy hits a golf ball.,The little boy swung at the golf ball.,Similar,Similar,0.8681,86.81%,4.02,Local CPU
68,STS-B (main-captions),A guy is taking off his sunglasses.,A boy is removing his sunglasses.,Similar,Similar,0.7589,75.89%,4.02,Local CPU
69,STS-B (main-captions),Someone is reading an email.,A man is reading his email.,Similar,Similar,0.876,87.60%,4.02,Local CPU
70,STS-B (main-captions),A person is slicing onions.,Someone is slicing an onion.,Similar,Similar,0.9496,94.96%,4.02,Local CPU
71,STS-B (main-captions),A woman is dicing some peeled potatoes cut into thick strips.,A woman is chopping a peeled potato into slices.,Similar,Similar,0.8023,80.23%,4.02,Local CPU
72,STS-B (main-captions),A cat cleans itself.,A cat is licking itself.,Similar,Similar,0.7345,73.45%,4.02,Local CPU
73,STS-B (main-captions),Three men are doing same dance in the street.,Three shirtless men are dancing in the street.,Similar,Similar,0.7866,78.66%,4.02,Local CPU
74,STS-B (main-captions),The woman is measuring the other woman.,The lady measured the other woman's ankle.,Similar,Similar,0.7403,74.03%,4.02,Local CPU
75,STS-B (main-captions),A man pours rice into a pot.,A man is putting rice in a bowling pot.,Similar,Similar,0.7962,79.62%,4.02,Local CPU
76,STS-B (main-captions),A person is slicing some garlic.,A person is dicing a clove of garlic with a knife.,Similar,Similar,0.7616,76.16%,4.02,Local CPU
77,STS-B (main-captions),Men are playing soccer.,Two teams play soccer.,Similar,Not Similar,0.6433,64.33%,4.02,Local CPU
78,STS-B (main-captions),A person is scrubbing a zucchini.,A woman is scrubbing a zucchini with a vegetable brush.,Similar,Similar,0.8802,88.02%,4.02,Local CPU
79,STS-B (main-captions),A panda bear is chewing on a stick.,A baby panda plays with a stick.,Similar,Similar,0.773,77.30%,4.02,Local CPU
80,STS-B (main-captions),The people are lifting bags.,Several people are carrying large bags.,Similar,Not Similar,0.696,69.60%,4.02,Local CPU
81,STS-B (main-captions),The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,Similar,Not Similar,0.6418,64.18%,4.02,Local CPU
82,STS-B (main-captions),A man tries to feed a mouse to a snake.,A man is teasing a snake with a mouse.,Similar,Similar,0.7969,79.69%,4.02,Local CPU
83,STS-B (main-captions),A cat gets stuck on a moving ceiling fan.,A cat is swinging on a fan.,Similar,Similar,0.7055,70.55%,4.02,Local CPU
84,STS-B (main-captions),The cat is drinking milk.,A white cat is licking and drinking milk kept on a plate.,Similar,Not Similar,0.6865,68.65%,4.02,Local CPU
85,STS-B (main-captions),Rocky and Apollo Creed are running down the beach.,The men are jogging on the beach.,Similar,Not Similar,0.4764,47.64%,4.02,Local CPU
86,STS-B (main-captions),A lady mixed up a meat mixture in bowl.,A woman is stirring meat in a bowl.,Similar,Similar,0.7759,77.59%,4.02,Local CPU
87,STS-B (main-captions),A woman puts make-up on.,A woman is putting on eyeshadow.,Similar,Not Similar,0.6602,66.02%,4.02,Local CPU
88,STS-B (main-captions),A cat plays in his water.,The cat fished a straw out ouf his water dish.,Similar,Not Similar,0.6621,66.21%,4.02,Local CPU
89,STS-B (main-captions),The man is exercising.,A man is doing pull-ups.,Similar,Not Similar,0.6474,64.74%,4.02,Local CPU
90,STS-B (main-captions),A moped in front of steps of ruins.,A moped in front of ruins.,Similar,Similar,0.944,94.40%,4.02,Local CPU
