id,category,sentence_a,sentence_b,expected,predicted_lexical,predicted_local,predicted_api,predicted_cascading,predicted_optimal_ensemble,score_local,score_api,score_optimal_ensemble
1,STS-B (main-captions),A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,Similar,Similar,Similar,Similar,Similar,Similar,0.7886,0.9057,0.8589
2,STS-B (main-captions),One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,Similar,Similar,Similar,Similar,Similar,Similar,0.9465,0.9345,0.8902
3,STS-B (main-captions),A man is cutting up a cucumber.,A man is slicing a cucumber.,Similar,Similar,Similar,Similar,Similar,Similar,0.882,0.9378,0.9198
4,STS-B (main-captions),A man is riding an electric bicycle.,A man is riding a bicycle.,Similar,Similar,Similar,Similar,Similar,Similar,0.8074,0.9203,0.9219
5,STS-B (main-captions),A man is cutting an onion.,A man cuts an onion.,Similar,Similar,Similar,Similar,Similar,Similar,0.9795,0.9371,0.9135
6,STS-B (main-captions),A man is slicing open a fish.,A man is cutting up a fish.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.8238,0.8428,0.8261
7,STS-B (main-captions),A baby panda goes down a slide.,A panda slides down a slide.,Similar,Similar,Similar,Similar,Similar,Similar,0.8536,0.8404,0.7019
8,STS-B (main-captions),A man is singing and playing a guitar.,A man is playing a guitar.,Similar,Similar,Similar,Similar,Similar,Similar,0.8012,0.8809,0.8291
9,STS-B (main-captions),A man attacks a woman.,A man slaps a woman.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.7306,0.8191,0.7474
10,STS-B (main-captions),Two zebras play in an open field.,Two zebras are playing in a field.,Similar,Similar,Similar,Similar,Similar,Similar,0.9564,0.9815,0.9599
11,STS-B (main-captions),A man is cutting a potato.,A man is slicing some potato.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.8929,0.9342,0.8663
12,STS-B (main-captions),A turtle is swimming in water.,A turtle is walking underwater.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.773,0.9066,0.8167
13,STS-B (main-captions),A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.8652,0.9325,0.8611
14,STS-B (main-captions),A cat is eating some corn.,A cat is eating corn on the cob.,Similar,Similar,Similar,Similar,Similar,Similar,0.9341,0.9336,0.9388
15,STS-B (main-captions),A man is eating a food.,A man is eating a piece of bread.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.7628,0.9051,0.864
16,STS-B (main-captions),A woman is dancing in the rain.,A woman dances in the rain out side.,Similar,Similar,Similar,Similar,Similar,Similar,0.9244,0.9054,0.8479
17,STS-B (main-captions),A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,Similar,Similar,Similar,Similar,Similar,Similar,0.7838,0.8542,0.7692
18,STS-B (main-captions),A woman is talking on a cell phone.,A man and woman are talking on the phone.,Similar,Similar,Not Similar,Similar,Similar,Similar,0.6078,0.9137,0.8586
19,STS-B (main-captions),A man is playing a guitar.,A man is singing while playing the guitar.,Similar,Similar,Similar,Similar,Similar,Similar,0.7703,0.9016,0.8289
20,STS-B (main-captions),A boy studies a calendar.,A boy is looking at a calendar.,Similar,Similar,Similar,Similar,Similar,Similar,0.9024,0.8777,0.8385
21,STS-B (main-captions),A man puts three pieces of meat into a pan.,A man is putting meat in a pan.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.878,0.9346,0.9229
22,STS-B (main-captions),Some men are sawing.,Men are sawing logs.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.7764,0.8939,0.8531
23,STS-B (main-captions),The man is kissing and hugging the woman.,A man is hugging and kissing a woman.,Similar,Similar,Similar,Similar,Similar,Similar,0.9613,0.9224,0.8577
24,STS-B (main-captions),Someone is slicing an onion.,A woman is cutting onion.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.8055,0.8531,0.7628
25,STS-B (main-captions),A person is playing an electronic keyboard.,A kid is playing keyboard.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.7288,0.9453,0.9045
26,STS-B (main-captions),A man is sitting and smoking.,A man is smoking a cigarette.,Similar,Not Similar,Similar,Similar,Similar,Similar,0.801,0.8858,0.8536
27,STS-B (main-captions),A man is standing in front of the window and looking outside.,A man is staring out the window.,Similar,Not Similar,Similar,Similar,Similar,Not Similar,0.7537,0.8081,0.6887
28,STS-B (main-captions),A man is playing the guitar and singing.,A man sings with a guitar.,Similar,Not Similar,Similar,Similar,Similar,Not Similar,0.863,0.785,0.5921
29,STS-B (main-captions),People are dancing outside.,A group of people are dancing.,Similar,Not Similar,Similar,Similar,Similar,Not Similar,0.8337,0.7537,0.5099
30,STS-B (main-captions),A machine is sharpening a pencil.,The machine shaved the end of the pencil.,Similar,Not Similar,Not Similar,Similar,Similar,Not Similar,0.6941,0.7308,0.5089
31,STS-B (main-captions),A person is drawing on a large touchscreen.,A man is drawing on a digital dry erase board.,Similar,Not Similar,Not Similar,Similar,Similar,Not Similar,0.4942,0.7651,0.6995
32,STS-B (main-captions),The polar bears fought over the kill.,Polar bears are fighting each other.,Similar,Not Similar,Similar,Similar,Similar,Not Similar,0.7988,0.7618,0.6595
33,STS-B (main-captions),A man is doing trick with play cards.,A man is performing a card trick.,Similar,Not Similar,Similar,Not Similar,Not Similar,Not Similar,0.9202,0.6181,0.3775
34,STS-B (main-captions),Two women are dancing and singing in front of a crowd.,The women are singing and dancing.,Similar,Similar,Similar,Not Similar,Not Similar,Not Similar,0.7858,0.6798,0.5074
